id,course,title,date,start,end,kind,location,details,term
cs771-mid-2026,CS771,Introduction to Machine Learning,2026-09-13,17:00,19:00,Mid-semester exam,,Exam Scheduler IITK · 13 Sep 2026 · Sunday slot 4,First Semester 2026–27
cs611-mid-2026,CS611,System Level Data Formats and Representations for AI,2026-09-14,17:00,19:00,Mid-semester exam,,Exam Scheduler IITK · 14 Sep 2026 · Monday slot 4,First Semester 2026–27
cs781-mid-2026,CS781,Large Language Models,2026-09-20,08:00,10:00,Mid-semester exam,,Exam Scheduler IITK · 20 Sep 2026 · Sunday slot 1,First Semester 2026–27
cs787-mid-2026,CS787,Generative Artificial Intelligence,2026-09-20,14:00,16:00,Mid-semester exam,,Exam Scheduler IITK · 20 Sep 2026 · Sunday slot 3,First Semester 2026–27
